tf,session,setup,filters,target,is_n,is_win,is_net,is_pf,oos_n,oos_win,oos_net,oos_pf,total_net,PASS
5m,all,fvg,bias,fix2,2201,46.5,11305,1.32,1287,48.6,11422,1.63,22727,True
5m,all,fvg,raw,fix2,2725,44.3,9899,1.22,1823,44.0,10117,1.36,20016,True
5m,all,fvg,bias,struct,2466,51.6,9103,1.26,1384,53.5,9402,1.53,18504,True
5m,asian,fvg,bias,fix2,876,49.4,6437,1.49,544,51.5,5962,1.82,12399,True
5m,asian,fvg,raw,fix2,1308,46.0,6492,1.31,914,44.1,5063,1.36,11556,True
5m,london+ny,fvg,raw,fix2,1577,44.4,5987,1.23,944,43.3,4832,1.33,10819,True
5m,asian,fvg,bias,struct,981,54.7,5597,1.42,583,55.7,4789,1.67,10386,True
5m,london+ny,fvg,bias,fix2,967,46.3,4909,1.32,516,48.6,4632,1.64,9541,True
15m,all,fvg,raw,fix2,1121,43.4,3919,1.21,677,44.9,4507,1.45,8426,True
5m,london+ny,fvg,bias,struct,1023,51.2,3494,1.24,539,54.7,4170,1.62,7664,True
5m,all,ob,pd+bias,fix2,1013,43.0,4568,1.29,518,46.1,3934,1.54,8502,True
15m,all,fvg,bias,fix2,842,47.4,5359,1.42,451,47.0,3687,1.57,9045,True
5m,all,ob,pd+bias,struct,1098,48.3,3369,1.22,559,50.8,3171,1.44,6539,True
15m,all,fvg,bias,struct,896,50.8,4647,1.36,476,50.2,2939,1.46,7586,True
5m,ny,fvg,raw,fix2,1003,47.7,6411,1.42,588,43.0,2923,1.32,9334,True
5m,ny,fvg,bias,fix2,590,48.6,4105,1.46,290,49.0,2701,1.67,6807,True
5m,london,fvg,bias,fix2,521,45.9,2382,1.28,264,49.6,2523,1.69,4905,True
5m,all,ob,pd+bias+sweep,fix2,720,41.9,2583,1.22,344,45.3,2422,1.49,5006,True
5m,london,fvg,bias,struct,559,51.3,1795,1.22,277,56.0,2361,1.7,4155,True
5m,ny,fvg,bias,struct,610,53.6,3141,1.38,300,54.0,2161,1.57,5302,True
5m,ny,fvg,raw,struct,1062,52.0,4324,1.29,609,48.1,2160,1.25,6484,True
5m,london+ny,fvg,pd+bias,fix2,554,44.2,1898,1.21,271,47.2,2121,1.54,4019,True
15m,asian,fvg,bias,fix2,419,48.4,2945,1.47,244,45.1,1641,1.45,4585,True
15m,asian,fvg,raw,fix2,750,43.2,2477,1.2,468,40.6,1592,1.21,4068,True
15m,all,ob,pd+bias,fix2,322,46.6,2535,1.55,168,47.0,1518,1.66,4053,True
15m,all,ob,pd+bias,struct,358,49.4,1786,1.37,189,52.9,1464,1.64,3250,True
15m,all,fvg,pd+bias,fix2,475,46.9,2790,1.38,236,44.5,1458,1.41,4248,True
5m,ny,fvg,pd+bias,fix2,321,45.2,1364,1.26,146,47.9,1229,1.59,2593,True
15m,london+ny,fvg,bias,fix2,392,46.2,2225,1.36,186,44.6,1178,1.42,3403,True
15m,ny,fvg,raw,fix2,464,43.8,1888,1.25,265,41.9,1162,1.28,3049,True
15m,asian,fvg,bias,struct,434,51.8,2460,1.4,253,47.8,1138,1.32,3597,True
15m,all,fvg,pd+bias,struct,495,50.1,2103,1.29,236,47.5,1135,1.34,3237,True
5m,london,fvg,pd+bias,fix2,265,45.3,1074,1.25,134,47.8,1089,1.56,2163,True
1h,all,fvg,raw,struct,287,44.3,2075,1.46,141,45.4,896,1.44,2971,True
5m,ny,ob,pd+bias,fix2,334,46.7,2424,1.51,165,42.4,887,1.36,3312,True
15m,london+ny,fvg,bias,struct,401,50.6,2155,1.38,190,47.4,866,1.32,3021,True
5m,all,ob,pd+bias+sweep+mss,fix2,244,45.9,1563,1.43,113,46.0,862,1.54,2425,True
1h,all,fvg,bias,struct,225,55.1,3951,2.39,100,47.0,840,1.6,4791,True
1h,asian,fvg,bias,struct,148,45.3,1329,1.58,66,51.5,807,1.95,2136,True
1h,all,fvg,raw,fix2,278,42.8,1116,1.25,137,42.3,731,1.35,1848,True
15m,asian,fvg,pd+bias,fix2,195,49.2,1461,1.51,95,45.3,639,1.45,2100,True
5m,ny,ob,pd+bias,struct,342,52.6,2008,1.45,168,47.6,637,1.28,2645,True
1h,all,fvg,bias,fix2,219,53.0,2493,1.86,95,44.2,632,1.45,3124,True
5m,all,ob,pd+bias+sweep+mss,struct,246,50.4,988,1.29,115,49.6,551,1.36,1539,True
1h,london,fvg,bias,struct,71,53.5,1047,2.13,39,53.8,545,2.13,1592,True
15m,all,ob,pd+bias+sweep+mss,fix2,94,41.5,392,1.26,38,52.6,513,2.1,906,True
15m,asian,fvg,pd+bias,struct,202,53.0,1202,1.43,96,49.0,510,1.38,1712,True
