tf,session,setup,filters,target,trades,win%,PF,net$,/mo@0.5%,folds+,worst_fold$,robust
5m,all,ob,bias,fix2,2034,47.4,1.42,12870,536,6/6,998,True
5m,all,fvg,bias,fix2,2981,46.0,1.22,10992,458,5/6,-461,True
5m,all,ob,bias,fix3,2340,51.6,1.29,9264,386,6/6,274,True
5m,all,ob,bias,struct,2340,51.6,1.29,9264,386,6/6,274,True
15m,all,ob,bias,fix2,730,49.6,1.66,6700,279,6/6,789,True
5m,all,fvg,bias,fix3,3241,50.9,1.13,6583,274,5/6,-979,True
5m,all,fvg,bias,struct,3241,50.9,1.13,6583,274,5/6,-979,True
5m,asian,fvg,bias,fix2,1138,48.2,1.35,6251,260,6/6,173,True
15m,all,ob,bias,fix3,860,53.7,1.55,6025,251,6/6,438,True
15m,all,ob,bias,struct,860,53.7,1.55,6025,251,6/6,438,True
5m,all,ob,pd+bias,fix2,1531,43.7,1.22,5435,226,5/6,-66,True
5m,london+ny,ob,bias,fix2,1151,44.9,1.3,5310,221,6/6,200,True
5m,london+ny,fvg,bias,fix2,1232,46.3,1.25,4972,207,5/6,-695,True
15m,all,fvg,bias,fix2,1161,45.1,1.23,4466,186,6/6,319,True
5m,asian,fvg,bias,fix3,1220,53.0,1.25,4393,183,5/6,-89,True
5m,asian,fvg,bias,struct,1220,53.0,1.25,4393,183,5/6,-89,True
5m,asian,ob,bias,fix2,1029,44.8,1.26,4250,177,5/6,-244,True
5m,ny,ob,bias,fix2,760,45.5,1.33,3907,163,5/6,-181,True
5m,london+ny,ob,bias,fix3,1263,49.9,1.21,3730,155,6/6,76,True
5m,london+ny,ob,bias,struct,1263,49.9,1.21,3730,155,6/6,76,True
1h,all,fvg,bias,fix3,308,51.6,1.83,3612,150,6/6,162,True
1h,all,fvg,bias,struct,308,51.6,1.83,3612,150,6/6,162,True
5m,ny,fvg,bias,fix2,722,47.1,1.29,3427,143,5/6,-579,True
15m,all,ob,pd+bias,fix2,489,46.6,1.47,3396,142,6/6,112,True
15m,all,fvg,bias,fix3,1230,48.9,1.18,3345,139,6/6,151,True
15m,all,fvg,bias,struct,1230,48.9,1.18,3345,139,6/6,151,True
5m,ny,fvg,raw,fix2,1432,43.4,1.13,3147,131,5/6,-413,True
5m,all,ob,pd+bias,fix3,1655,48.5,1.12,3038,127,5/6,-424,True
5m,all,ob,pd+bias,struct,1655,48.5,1.12,3038,127,5/6,-424,True
5m,all,ob,pd+bias+sweep,fix2,1050,42.8,1.16,2859,119,5/6,-1,True
5m,asian,ob,bias,fix3,1150,49.9,1.17,2807,117,5/6,-560,True
5m,asian,ob,bias,struct,1150,49.9,1.17,2807,117,5/6,-560,True
5m,ny,ob,bias,fix3,819,50.3,1.24,2796,117,5/6,-71,True
5m,ny,ob,bias,struct,819,50.3,1.24,2796,117,5/6,-71,True
1h,all,ob,bias,fix3,292,51.7,1.71,2643,110,6/6,303,True
1h,all,ob,bias,struct,292,51.7,1.71,2643,110,6/6,303,True
1h,all,ob,bias,fix2,267,48.3,1.7,2556,107,6/6,301,True
15m,all,ob,pd+bias,fix3,546,50.5,1.34,2525,105,6/6,13,True
15m,all,ob,pd+bias,struct,546,50.5,1.34,2525,105,6/6,13,True
15m,london+ny,ob,bias,fix2,584,42.6,1.27,2446,102,6/6,120,True
5m,ny,fvg,bias,fix3,744,52.2,1.21,2275,95,5/6,-554,True
5m,ny,fvg,bias,struct,744,52.2,1.21,2275,95,5/6,-554,True
5m,london+ny,ob,pd+bias,fix2,763,42.6,1.18,2200,92,5/6,-47,True
1h,all,fvg,bias,fix2,297,48.8,1.5,2193,91,6/6,55,True
15m,london+ny,ob,bias,fix3,630,48.1,1.24,2187,91,6/6,220,True
15m,london+ny,ob,bias,struct,630,48.1,1.24,2187,91,6/6,220,True
15m,asian,fvg,bias,fix2,552,45.1,1.23,2125,89,5/6,-254,True
1h,london+ny,fvg,bias,fix3,164,51.8,1.87,1980,82,6/6,82,True
1h,london+ny,fvg,bias,struct,164,51.8,1.87,1980,82,6/6,82,True
15m,all,fvg,pd+bias,fix2,604,44.4,1.18,1866,78,5/6,-120,True
5m,london+ny,fvg,pd+bias,fix2,635,44.9,1.17,1826,76,5/6,-355,True
5m,london,ob,bias,fix2,604,43.0,1.18,1792,75,5/6,-167,True
5m,all,fvg,pd+bias+sweep,fix2,840,43.7,1.12,1728,72,5/6,-511,True
15m,all,ob,pd+bias+mss,fix2,306,44.8,1.35,1643,68,5/6,-36,True
5m,asian,fvg,pd+bias,fix2,533,45.0,1.17,1543,64,5/6,-805,True
5m,london+ny,fvg,pd+bias+sweep,fix2,322,46.9,1.28,1467,61,5/6,-73,True
5m,london+ny,ob,pd+bias,fix3,792,48.4,1.12,1404,59,5/6,-14,True
5m,london+ny,ob,pd+bias,struct,792,48.4,1.12,1404,59,5/6,-14,True
15m,ny,ob,bias,fix2,432,41.0,1.19,1331,55,5/6,-16,True
15m,all,ob,pd+bias+mss,fix3,316,49.4,1.29,1284,53,6/6,53,True
15m,all,ob,pd+bias+mss,struct,316,49.4,1.29,1284,53,6/6,53,True
5m,ny,fvg,pd+bias+sweep,fix2,183,49.7,1.45,1255,52,5/6,-57,True
15m,all,ob,pd+bias+sweep,fix2,355,41.7,1.22,1240,52,5/6,-246,True
1h,ny,ob,bias,fix2,150,46.7,1.57,1219,51,6/6,75,True
1h,london+ny,fvg,bias,fix2,163,48.5,1.5,1208,50,6/6,54,True
1h,london,fvg,bias,fix3,97,51.5,1.86,1168,49,6/6,35,True
1h,london,fvg,bias,struct,97,51.5,1.86,1168,49,6/6,35,True
1h,all,ob,raw,fix3,277,44.4,1.28,1142,48,5/6,-287,True
1h,all,ob,raw,struct,277,44.4,1.28,1142,48,5/6,-287,True
1h,ny,fvg,bias,fix3,95,51.6,1.84,1122,47,5/6,-67,True
1h,ny,fvg,bias,struct,95,51.6,1.84,1122,47,5/6,-67,True
1h,asian,fvg,bias,fix3,202,45.0,1.34,1100,46,5/6,-216,True
1h,asian,fvg,bias,struct,202,45.0,1.34,1100,46,5/6,-216,True
5m,ny,fvg,pd+bias,fix2,363,44.9,1.18,1085,45,5/6,-317,True
1h,ny,ob,bias,fix3,152,48.0,1.51,1076,45,6/6,54,True
1h,ny,ob,bias,struct,152,48.0,1.51,1076,45,6/6,54,True
5m,all,ob,pd+bias+sweep,fix3,1101,47.5,1.06,1069,45,5/6,-84,True
5m,all,ob,pd+bias+sweep,struct,1101,47.5,1.06,1069,45,5/6,-84,True
15m,ny,ob,bias,fix3,452,46.0,1.16,1046,44,6/6,52,True
15m,ny,ob,bias,struct,452,46.0,1.16,1046,44,6/6,52,True
5m,london+ny,fvg,pd+bias,fix3,641,50.4,1.11,1039,43,5/6,-271,True
5m,london+ny,fvg,pd+bias,struct,641,50.4,1.11,1039,43,5/6,-271,True
5m,asian,fvg,pd+bias,fix3,551,50.8,1.12,1005,42,5/6,-827,True
5m,asian,fvg,pd+bias,struct,551,50.8,1.12,1005,42,5/6,-827,True
1h,all,ob,pd+bias,fix2,142,45.1,1.48,988,41,6/6,60,True
5m,ny,ob,pd+bias+sweep,fix2,288,43.1,1.21,966,40,5/6,-487,True
15m,all,fvg,pd+bias+sweep,fix2,300,44.0,1.19,937,39,5/6,-285,True
1h,all,ob,pd+bias,fix3,143,47.6,1.46,913,38,6/6,29,True
1h,all,ob,pd+bias,struct,143,47.6,1.46,913,38,6/6,29,True
15m,ny,ob,pd+bias+mss,fix2,109,47.7,1.54,859,36,6/6,9,True
5m,london+ny,fvg,pd+bias+sweep,fix3,324,51.5,1.17,812,34,5/6,-43,True
5m,london+ny,fvg,pd+bias+sweep,struct,324,51.5,1.17,812,34,5/6,-43,True
1h,london+ny,fvg,pd+bias,fix3,68,48.5,1.78,781,33,5/6,-165,True
1h,london+ny,fvg,pd+bias,struct,68,48.5,1.78,781,33,5/6,-165,True
15m,london+ny,ob,pd+bias,fix2,353,40.2,1.13,771,32,5/6,-309,True
1h,london+ny,ob,bias,fix3,206,43.2,1.24,767,32,5/6,-3,True
1h,london+ny,ob,bias,struct,206,43.2,1.24,767,32,5/6,-3,True
15m,all,ob,pd+bias+sweep+mss,fix2,132,44.7,1.36,731,30,5/6,-137,True
15m,london+ny,ob,pd+bias+mss,fix2,153,43.8,1.3,729,30,5/6,-92,True
5m,ny,fvg,pd+bias+sweep,fix3,185,53.5,1.27,704,29,5/6,-25,True
5m,ny,fvg,pd+bias+sweep,struct,185,53.5,1.27,704,29,5/6,-25,True
15m,ny,ob,pd+bias+mss,fix3,110,52.7,1.47,676,28,5/6,-52,True
15m,ny,ob,pd+bias+mss,struct,110,52.7,1.47,676,28,5/6,-52,True
1h,london+ny,ob,bias,fix2,199,39.7,1.19,598,25,5/6,-10,True
1h,london,fvg,bias,fix2,97,46.4,1.39,587,24,5/6,-130,True
1h,ny,ob,pd+bias,fix2,68,47.1,1.57,556,23,6/6,16,True
15m,all,fvg,pd+bias+sweep,fix3,309,47.9,1.11,538,22,5/6,-337,True
15m,all,fvg,pd+bias+sweep,struct,309,47.9,1.11,538,22,5/6,-337,True
1h,all,fvg,pd+bias+sweep,fix3,67,47.8,1.53,534,22,6/6,28,True
1h,all,fvg,pd+bias+sweep,struct,67,47.8,1.53,534,22,6/6,28,True
1h,all,ob,raw,fix2,265,38.5,1.11,480,20,5/6,-245,True
15m,london+ny,fvg,pd+bias+sweep,fix2,138,44.2,1.21,475,20,5/6,-233,True
15m,ny,fvg,pd+bias+sweep,fix2,82,46.3,1.33,426,18,5/6,-26,True
5m,london,fvg,pd+bias+sweep,fix2,147,44.9,1.16,411,17,5/6,-238,True
1h,london+ny,fvg,raw,fix2,318,39.6,1.05,266,11,5/6,-391,True
1h,london,ob,pd+sweep,fix3,52,46.2,1.23,169,7,5/6,-28,True
1h,london,ob,pd+sweep,struct,52,46.2,1.23,169,7,5/6,-28,True
1h,asian,sweep,bias,fix2,98,38.8,1.1,157,7,5/6,-80,True
5m,all,fvg,pd+bias,fix2,1660,44.0,1.12,3508,146,4/6,-946,False
5m,london+ny,fvg,bias,fix3,1288,51.8,1.18,3425,143,4/6,-650,False
5m,london+ny,fvg,bias,struct,1288,51.8,1.18,3425,143,4/6,-650,False
5m,asian,fvg,raw,fix2,1970,42.7,1.08,2823,118,3/6,-769,False
15m,all,fvg,raw,fix2,1744,41.8,1.09,2586,108,4/6,-832,False
1h,all,fvg,raw,fix3,419,44.6,1.31,2082,87,4/6,-289,False
1h,all,fvg,raw,struct,419,44.6,1.31,2082,87,4/6,-289,False
5m,ny,ob,pd+bias,fix2,497,44.1,1.26,2034,85,4/6,-359,False
5m,london,fvg,bias,fix2,617,45.5,1.19,1963,82,4/6,-216,False
5m,all,fvg,raw,fix2,4358,41.5,1.02,1941,81,2/6,-1458,False
5m,all,fvg,pd+bias,fix3,1730,49.6,1.06,1699,71,4/6,-1406,False
5m,all,fvg,pd+bias,struct,1730,49.6,1.06,1699,71,4/6,-1406,False
15m,london+ny,fvg,bias,fix2,512,43.9,1.18,1570,65,4/6,-132,False
5m,all,ob,pd+bias+sweep+mss,fix2,344,45.3,1.29,1566,65,4/6,-298,False
5m,london,fvg,bias,fix3,648,51.7,1.16,1516,63,4/6,-192,False
5m,london,fvg,bias,struct,648,51.7,1.16,1516,63,4/6,-192,False
5m,all,fvg,pd+bias+sweep,fix3,849,50.5,1.11,1477,62,4/6,-438,False
5m,all,fvg,pd+bias+sweep,struct,849,50.5,1.11,1477,62,4/6,-438,False
5m,ny,ob,pd+bias,fix3,508,49.8,1.2,1438,60,4/6,-259,False
5m,ny,ob,pd+bias,struct,508,49.8,1.2,1438,60,4/6,-259,False
5m,london+ny,fvg,raw,fix2,2286,41.5,1.03,1352,56,3/6,-1294,False
15m,asian,fvg,bias,fix3,573,48.5,1.15,1340,56,3/6,-224,False
15m,asian,fvg,bias,struct,573,48.5,1.15,1340,56,3/6,-224,False
5m,ny,fvg,raw,fix3,1488,48.7,1.06,1313,55,4/6,-204,False
5m,ny,fvg,raw,struct,1488,48.7,1.06,1313,55,4/6,-204,False
15m,all,fvg,pd+bias,fix3,618,48.1,1.13,1286,54,3/6,-91,False
15m,all,fvg,pd+bias,struct,618,48.1,1.13,1286,54,3/6,-91,False
1h,all,fvg,raw,fix2,407,42.5,1.18,1235,51,4/6,-340,False
5m,london,ob,bias,fix3,665,48.9,1.12,1214,51,4/6,-299,False
5m,london,ob,bias,struct,665,48.9,1.12,1214,51,4/6,-299,False
15m,london+ny,fvg,bias,fix3,524,47.7,1.14,1166,49,4/6,-203,False
15m,london+ny,fvg,bias,struct,524,47.7,1.14,1166,49,4/6,-203,False
15m,all,ob,raw,fix2,934,38.9,1.07,1109,46,4/6,-773,False
1h,all,fvg,pd+bias,fix3,142,46.5,1.49,1085,45,4/6,-142,False
1h,all,fvg,pd+bias,struct,142,46.5,1.49,1085,45,4/6,-142,False
5m,london+ny,ob,pd+bias+sweep,fix2,461,41.9,1.14,1064,44,4/6,-258,False
5m,london,fvg,pd+bias,fix2,296,45.9,1.21,1036,43,4/6,-35,False
1h,asian,ob,raw,fix3,254,44.9,1.27,1034,43,4/6,-241,False
1h,asian,ob,raw,struct,254,44.9,1.27,1034,43,4/6,-241,False
15m,all,ob,raw,fix3,1027,44.6,1.07,1032,43,3/6,-481,False
15m,all,ob,raw,struct,1027,44.6,1.07,1032,43,3/6,-481,False
15m,all,fvg,raw,fix3,1865,45.7,1.03,1018,42,3/6,-762,False
15m,all,fvg,raw,struct,1865,45.7,1.03,1018,42,3/6,-762,False
1h,asian,ob,bias,fix3,164,47.0,1.4,930,39,4/6,-111,False
1h,asian,ob,bias,struct,164,47.0,1.4,930,39,4/6,-111,False
5m,all,ob,raw,fix2,2375,39.5,1.02,922,38,3/6,-801,False
5m,london+ny,ob,pd+bias+sweep+mss,fix2,144,47.2,1.43,922,38,4/6,-136,False
5m,all,ob,pd+bias+mss,fix2,821,41.0,1.06,877,37,4/6,-1086,False
15m,asian,fvg,pd+bias,fix2,232,45.3,1.22,857,36,4/6,-71,False
5m,ny,ob,pd+bias+sweep+mss,fix2,100,50.0,1.6,854,36,4/6,-122,False
15m,ny,fvg,bias,fix2,324,43.2,1.15,816,34,4/6,-229,False
15m,all,ob,pd+bias+sweep,fix3,381,46.5,1.14,803,33,4/6,-190,False
15m,all,ob,pd+bias+sweep,struct,381,46.5,1.14,803,33,4/6,-190,False
1h,london+ny,fvg,raw,fix3,323,40.9,1.13,742,31,3/6,-347,False
1h,london+ny,fvg,raw,struct,323,40.9,1.13,742,31,3/6,-347,False
15m,ny,fvg,raw,fix2,683,41.0,1.06,736,31,4/6,-555,False
15m,london,ob,raw,fix3,560,45.4,1.09,735,31,4/6,-185,False
15m,london,ob,raw,struct,560,45.4,1.09,735,31,4/6,-185,False
5m,ny,ob,pd+bias+sweep,fix3,296,49.3,1.17,734,31,4/6,-250,False
5m,ny,ob,pd+bias+sweep,struct,296,49.3,1.17,734,31,4/6,-250,False
1h,ny,fvg,raw,fix3,196,43.9,1.23,733,31,4/6,-517,False
1h,ny,fvg,raw,struct,196,43.9,1.23,733,31,4/6,-517,False
15m,london,fvg,bias,fix3,283,48.8,1.17,728,30,4/6,-151,False
15m,london,fvg,bias,struct,283,48.8,1.17,728,30,4/6,-151,False
1h,ny,fvg,bias,fix2,94,48.9,1.52,719,30,4/6,-134,False
15m,london,ob,raw,fix2,540,39.3,1.08,710,30,4/6,-402,False
5m,all,ob,pd+bias+sweep+mss,fix3,348,49.4,1.14,698,29,4/6,-359,False
5m,all,ob,pd+bias+sweep+mss,struct,348,49.4,1.14,698,29,4/6,-359,False
15m,asian,fvg,pd+bias,fix3,238,50.0,1.19,683,28,4/6,-20,False
15m,asian,fvg,pd+bias,struct,238,50.0,1.19,683,28,4/6,-20,False
5m,ny,ob,pd+bias+mss,fix2,216,43.1,1.19,681,28,3/6,-206,False
15m,london,fvg,bias,fix2,278,43.2,1.14,673,28,4/6,-448,False
5m,london+ny,ob,pd+bias+sweep,fix3,473,48.0,1.09,650,27,4/6,-172,False
5m,london+ny,ob,pd+bias+sweep,struct,473,48.0,1.09,650,27,4/6,-172,False
5m,london,fvg,pd+bias,fix3,300,51.3,1.14,647,27,3/6,-190,False
5m,london,fvg,pd+bias,struct,300,51.3,1.14,647,27,3/6,-190,False
5m,ny,ob,pd+sweep,fix2,671,39.9,1.06,645,27,4/6,-615,False
15m,asian,fvg,raw,fix2,1066,40.6,1.03,641,27,4/6,-1011,False
1h,all,fvg,pd+bias,fix2,141,45.4,1.28,635,26,4/6,-210,False
15m,london+ny,fvg,raw,fix2,1007,40.5,1.03,623,26,4/6,-638,False
5m,london+ny,ob,pd+bias+mss,fix2,328,41.5,1.11,608,25,3/6,-372,False
15m,asian,ob,bias,fix2,542,39.3,1.06,585,24,3/6,-234,False
15m,london,ob,bias,fix3,326,46.3,1.12,584,24,4/6,-189,False
15m,london,ob,bias,struct,326,46.3,1.12,584,24,4/6,-189,False
15m,london+ny,ob,pd+bias+mss,fix3,155,49.0,1.26,582,24,4/6,-131,False
15m,london+ny,ob,pd+bias+mss,struct,155,49.0,1.26,582,24,4/6,-131,False
1h,ny,ob,pd+bias,fix3,68,50.0,1.63,582,24,4/6,-14,False
1h,ny,ob,pd+bias,struct,68,50.0,1.63,582,24,4/6,-14,False
5m,ny,fvg,pd+bias,fix3,364,50.3,1.1,565,24,4/6,-203,False
5m,ny,fvg,pd+bias,struct,364,50.3,1.1,565,24,4/6,-203,False
1h,london,fvg,raw,fix3,207,41.5,1.16,545,23,4/6,-46,False
1h,london,fvg,raw,struct,207,41.5,1.16,545,23,4/6,-46,False
1h,all,ob,pd+bias+sweep,fix2,84,44.0,1.44,543,23,4/6,-88,False
5m,ny,ob,pd+bias+sweep+mss,fix3,100,54.0,1.42,539,22,3/6,-182,False
5m,ny,ob,pd+bias+sweep+mss,struct,100,54.0,1.42,539,22,3/6,-182,False
15m,ny,fvg,bias,fix3,326,46.3,1.1,522,22,3/6,-308,False
15m,ny,fvg,bias,struct,326,46.3,1.1,522,22,3/6,-308,False
5m,asian,fvg,raw,fix3,2139,47.9,1.01,503,21,3/6,-887,False
5m,asian,fvg,raw,struct,2139,47.9,1.01,503,21,3/6,-887,False
15m,london+ny,ob,pd+bias,fix3,367,45.5,1.09,495,21,4/6,-196,False
