हेलो एवरीवन मेरा नाम ग्वायर है और आज के इस एसएमसी के लेक्चर नंबर सेवन में हम लर्न करने वाले हैं कि
एसएमसी और आईसीटी के अंदर टोटल कितने ब्लॉक्स होते हैं और इन ब्लॉक्स को हम किस तरीके से बेनिफिट में ला सकते
हैं और साथ ही साथ हम इसके अंदर किस तरीके से ट्रेड प्लान कर सकते हैं अगर कोई न्यू पर्सन डायरेक्ट इस
लेक्चर में आया हुआ है तो मैं उसे सजेस्ट करूंगा कि प्लीज वो पहले वन टू सिक्स लेक्चर देख ले उसके बाद
ही आप इस सेवन लेक्चर में आओ तो आप उसे बेहतर तरीके से समझ पाओगे अगर आप डायरेक्टली सेवन लेक्चर में आते
हो तो बहुत सारी ऐसी चीजें हैं जो आपके सर के ऊपर से जाएगी तो मैं अगेन रिक्वेस्ट कर रहा हूं हूं
कि पहले वो वन टू सिक्स लेक्चर देख ले साथ ही साथ जो लोग वन टू सिक्स लेक्चर ऑलरेडी देख चुके हैं
और उसे मास्टर कर चुके हैं उन्हें भी मैं एक चीज बताना चाहता हूं कि आप लोगों ने मेरे अंदर एक चीज
नोटिस की होगी कि मैं एक इमेज जो है लाइक वो पजल में बिखरी हुई है तो मैं सारे जो पजल में
बिखरे हुए पीसे हैं उसको स्टेप बाय स्टेप मैं ला रहा हूं और उसको सही जगह पर लगाने के बाद एक एक्चुअल
इमेज एंड में क्रिएट हो रही है अगर आपने नोटिस किया होगा मेरे लर्निंग के वे में तो आपने देखा होगा कि
पहले फ्रेक्टल उसके बाद स्ट्रक्चर मैपिंग उसके बाद लिक्विडिटी इंटरनल लिक्विडिटी एक्सटर्नल लिक्विडिटी पीओ आई एंड लास्ट में आपको एंट्री मॉड्यूल देखने
को मिला मैं ऐसा नहीं है कि पहला लेक्चर में ही आपको एंड में एंट्री मॉड्यूल बता दी नहीं मैंने एक इमेज
पूरी की पूरी क्रिएट की एक पूरे कंसेप्ट को मैंने इकट्ठा किया और उस कांसेप्ट को फिर एंड में मैंने आपको बताया
कि देखो ये एंटायस जो है इस तरीके से दिखता है राइट तो नाउ आज से जो सेवन लेक्चर स्टार्ट हो रहा
है ये एक एडवांस एसएमसी है जिसे आईसीटी भी बोला जाता है राइट नाउ इसके अंदर मैं पहले आपको ब्लॉक्स वगैरह लर्न
करवाऊंगी राइट उसके बाद जूड़ा स्विंग वगैरह जो है वो सारी चीजें मैं आपको लर्न करवाऊंगी डॉल वगैरह ल लर्न करवाऊंगी लाइन
ऑफ डिफेंस लास्ट लाइन ऑफ डिफेंस लर्न करवाऊंगी एमडी वगैरह लर्न करवाऊंगी पावर ऑफ थ वगैरह लर्न करवाऊंगी लेथार्जिक प्राइस एक्शन वगैरह
लर्न करवाऊंगी बहुत सारे आईसीटी के जितने कांसेप्ट हैं वो मैं सारे स्टेप बाय स्टेप आपको लर्न करवाने वाला हूं बट आप
ये सोचो कि मैं ये सेवन लेक्चर देख लूंगा और उसके बाद मैं पूरा आईसीटी सीख जाऊंगा और स्टेप बाय स्टेप मैं
चार्ट पर जाऊंगा तो प्रॉफिट बनाने वाला हूं तो उसका कोई मतलब नहीं है राइट आपको टाइम देना पड़ेगा मैं ये टाइम
में आपको ब्लॉक सारे सिखा सकता हूं राइट क्योंकि ब्लॉक लर्न करवाने में मुझे कम से कम डेढ़ से दो घंटे लग
जाएंगे राइट और अभी जो मैं लेक्चर बना रहा हूं तो मेरा मानना है कि कम से कम ये जो लेक्चर है
डेढ़ से दो घंटे का बनेगा राइट तो आई होप आप मेरी बातों को समझ रहे हो कि ये पॉसिबल ही नहीं
है कि मैं ढ़ से दो घंटे में पूरे आईसीटी को लर्न करवा दूं राइट स्टेप बाय स्टेप मैं आपको लर्न कराऊंगा
एक आपका जो पुराना माइंड सेट है उसको चेंज करूंगा और एक नया माइंडसेट आपके माइंड में डालूंगा राइट जिससे आपका जो
चार्ट देखने का नजरिया है वो चेंज होगा और उस उसके बाद एक आप जो बढ़िया ट्रेडर है या जो एक लॉजिक
के साथ चार्ट को देखता है वो आप बन पाओगे राइट तो इसके अंदर एक प्रोसेस है जो लंबी चलेगी तो आप
इस स्टेप बाय स्टेप को अगर अ लर्न करने के लिए रेडी हो तो मैं आपको फुल सपोर्ट करने के लिए रेडी
हूं बाकी आप कोई और चैनल ढूंढ सकते हो राइट तो आज के इस लेक्चर में हम लर्न करेंगे एडवांस ऑर्डर ब्लॉक
मिटिगेशन ब्लॉक ब्रेकर ब्लॉक रिजेक्शन ब्लॉक एंड रिक्लेम ब्लॉक राइट और इसके हम किस तरीके से एंट्री प्लान में ला सकते हैं
उसको भी हम आज के इस लेक्चर में लर्न करने वाले हैं नाउ हम एडवांस ऑर्डर ब्लॉक को स्टार्ट करते हैं राइट
ये जो हमारा फर्स्ट जो पॉइंट है एडवांस ऑर्डर ब्लॉक ये होता क्या है और इसको हम किस तरीके से यूज कर
सकते हैं और इसको यूज़ करने के लिए क्या-क्या टूल की हमें नीड है वो भी हम समझेंगे राइट अगर आपने मेरे
पुराने लेक्चर देखे होंगे तो उसमें मैंने आपको समझाया होगा कि ऑर्डर ब्लॉक क्या होता है राइट नाउ ये एडवांस ऑर्डर ब्लॉक
है पहला जो ऑर्डर ब्लॉक था वो एफपीजी के साथ था जो बहुत से लोग जानते हैं कि एफपीजी होता है तब
एक ऑर्डर ब्लॉक बनता है राइट लास्ट बाइंग कैंडल या लास्ट सेलिंग कैंडल वि एफपीजी उसे ऑर्डर ब्लॉक बोला जाता है बट
ये जो एडवांस ऑर्डर ब्लॉक है ये बिना एफपीजी का ऑर्डर ब्लॉक है राइट जस्ट एक कैंडल है जिसके ऊपर ना नीचे
ऑर्डर बल एफजी है ये पूरी की पूरी कैंडल ऑर्डर ब्लॉक होगी नाउ इसको मैं थोड़ा डेप्थ में लर्न कराऊंगा राइट तो
अभी हम निफ्टी के चार्ट पर है राइट और निफ्टी के चार्ट पे मैं आपको पहले चार्ट प ले जाता हूं जिससे
आप बेहतर तरीके से समझ पाओ देखो इसके लिए हमें कुछ टूल्स की नीड है वो है फिना रिट्रेसमेंट राइट जब आप
फि रिट्रेसमेंट पर जाओगे तो इस पर जब आप क्लिक करोगे यह मेरा इस तरीके से फिप का सेटिंग है राइट इसको
